resource_id,title,description,domain,resource_type,difficulty,duration_minutes,url,tags,created_at
1,Tutorial: Art - Resource 1,A comprehensive tutorial about Art covering key concepts and practical examples.,Art,Tutorial,Advanced,64,https://example.com/resources/1,Computer Science|Mathematics|Music,2025-05-27T07:42:45.988980
2,Tutorial: Physics - Resource 2,A comprehensive tutorial about Physics covering key concepts and practical examples.,Physics,Tutorial,Beginner,116,https://example.com/resources/2,Philosophy|Music,2025-10-13T07:42:45.988980
3,Article: History - Resource 3,A comprehensive article about History covering key concepts and practical examples.,History,Article,Beginner,49,https://example.com/resources/3,Computer Science|Literature,2025-09-27T07:42:45.988980
4,Book: Chemistry - Resource 4,A comprehensive book about Chemistry covering key concepts and practical examples.,Chemistry,Book,Beginner,55,https://example.com/resources/4,History|Physics|Chemistry,2025-10-09T07:42:45.988980
5,Quiz: Physics - Resource 5,A comprehensive quiz about Physics covering key concepts and practical examples.,Physics,Quiz,Beginner,32,https://example.com/resources/5,Literature|History|Chemistry,2025-09-12T07:42:45.988980
6,Book: Physics - Resource 6,A comprehensive book about Physics covering key concepts and practical examples.,Physics,Book,Beginner,58,https://example.com/resources/6,Art,2025-09-24T07:42:45.988980
7,Quiz: Chemistry - Resource 7,A comprehensive quiz about Chemistry covering key concepts and practical examples.,Chemistry,Quiz,Intermediate,49,https://example.com/resources/7,Chemistry,2025-11-13T07:42:45.988980
8,Quiz: Chemistry - Resource 8,A comprehensive quiz about Chemistry covering key concepts and practical examples.,Chemistry,Quiz,Intermediate,45,https://example.com/resources/8,Biology,2025-08-22T07:42:45.988980
9,Quiz: Music - Resource 9,A comprehensive quiz about Music covering key concepts and practical examples.,Music,Quiz,Advanced,117,https://example.com/resources/9,Literature|Computer Science|Mathematics,2025-09-14T07:42:45.988980
10,Tutorial: Physics - Resource 10,A comprehensive tutorial about Physics covering key concepts and practical examples.,Physics,Tutorial,Intermediate,14,https://example.com/resources/10,Philosophy,2025-07-31T07:42:45.988980
11,Book: Literature - Resource 11,A comprehensive book about Literature covering key concepts and practical examples.,Literature,Book,Intermediate,65,https://example.com/resources/11,Music|Mathematics|History,2025-06-25T07:42:45.988980
12,Exercise: Chemistry - Resource 12,A comprehensive exercise about Chemistry covering key concepts and practical examples.,Chemistry,Exercise,Beginner,100,https://example.com/resources/12,Computer Science|Music,2025-07-05T07:42:45.988980
13,Exercise: Chemistry - Resource 13,A comprehensive exercise about Chemistry covering key concepts and practical examples.,Chemistry,Exercise,Intermediate,18,https://example.com/resources/13,Literature|Philosophy|Mathematics,2025-09-04T07:42:45.988980
14,Exercise: Music - Resource 14,A comprehensive exercise about Music covering key concepts and practical examples.,Music,Exercise,Advanced,62,https://example.com/resources/14,History|Biology,2025-07-01T07:42:45.988980
15,Article: Physics - Resource 15,A comprehensive article about Physics covering key concepts and practical examples.,Physics,Article,Intermediate,95,https://example.com/resources/15,Physics|Biology,2025-08-08T07:42:45.988980
16,Video: Music - Resource 16,A comprehensive video about Music covering key concepts and practical examples.,Music,Video,Intermediate,46,https://example.com/resources/16,History,2025-06-24T07:42:45.988980
17,Book: Philosophy - Resource 17,A comprehensive book about Philosophy covering key concepts and practical examples.,Philosophy,Book,Intermediate,69,https://example.com/resources/17,Art|Chemistry,2025-07-12T07:42:45.988980
18,Book: Art - Resource 18,A comprehensive book about Art covering key concepts and practical examples.,Art,Book,Beginner,94,https://example.com/resources/18,Biology,2025-07-11T07:42:45.988980
19,Exercise: Philosophy - Resource 19,A comprehensive exercise about Philosophy covering key concepts and practical examples.,Philosophy,Exercise,Beginner,114,https://example.com/resources/19,Biology,2025-09-23T07:42:45.988980
20,Article: Chemistry - Resource 20,A comprehensive article about Chemistry covering key concepts and practical examples.,Chemistry,Article,Beginner,15,https://example.com/resources/20,Art,2025-06-16T07:42:45.988980
21,Quiz: Mathematics - Resource 21,A comprehensive quiz about Mathematics covering key concepts and practical examples.,Mathematics,Quiz,Intermediate,90,https://example.com/resources/21,Chemistry|History|Art,2025-08-09T07:42:45.988980
22,Article: Chemistry - Resource 22,A comprehensive article about Chemistry covering key concepts and practical examples.,Chemistry,Article,Advanced,98,https://example.com/resources/22,Mathematics,2025-08-03T07:42:45.988980
23,Article: Chemistry - Resource 23,A comprehensive article about Chemistry covering key concepts and practical examples.,Chemistry,Article,Advanced,76,https://example.com/resources/23,Computer Science|Music,2025-09-17T07:42:45.988980
24,Quiz: Mathematics - Resource 24,A comprehensive quiz about Mathematics covering key concepts and practical examples.,Mathematics,Quiz,Beginner,112,https://example.com/resources/24,Music|Philosophy,2025-06-20T07:42:45.988980
25,Quiz: Literature - Resource 25,A comprehensive quiz about Literature covering key concepts and practical examples.,Literature,Quiz,Advanced,114,https://example.com/resources/25,Music|History|Art,2025-10-10T07:42:45.988980
26,Quiz: Art - Resource 26,A comprehensive quiz about Art covering key concepts and practical examples.,Art,Quiz,Intermediate,106,https://example.com/resources/26,Biology,2025-07-09T07:42:45.988980
27,Book: Art - Resource 27,A comprehensive book about Art covering key concepts and practical examples.,Art,Book,Beginner,45,https://example.com/resources/27,Mathematics|Biology,2025-09-20T07:42:45.988980
28,Exercise: Biology - Resource 28,A comprehensive exercise about Biology covering key concepts and practical examples.,Biology,Exercise,Intermediate,79,https://example.com/resources/28,Physics,2025-10-12T07:42:45.988980
29,Quiz: Chemistry - Resource 29,A comprehensive quiz about Chemistry covering key concepts and practical examples.,Chemistry,Quiz,Advanced,29,https://example.com/resources/29,Chemistry|Mathematics|History,2025-08-07T07:42:45.988980
